Id	text	Label
1241490299215634434	official death toll covid19 united kingdom greater than germany poland switzerland austria portugal greece sweden finland norway ireland combined uk 67 5 million \( 23 dead \) group 185 million \( 230 dead \) httpurl	INFORMATIVE
1245916400981381130	dearest mr president user 1 , 169 coronavirus deaths us 24 hours \( \? \) covid19 pandemic international crime china nature disasster ! please use authorities protect people world china ! chinahastocompensateall	INFORMATIVE
1241132432402849793	latest updates march 20 5274 new cases 38 new deaths united states illinois governo pritzker issues stay home order residents new york governor cuomo orders 10 non essential workers stay home penns source \( coronavirus country us \)	INFORMATIVE
1236107253666607104	breaking 21 people grand princess cruise ship docked california coast tested positive coronavirus , including 19 crew members two passengers , vice pres mike pence says 24 people tested negative httpurl httpurl	INFORMATIVE
1239673817552879619	oklahoma city state department education announced monday closure k 12 public schools statewide least april 6 number covid 19 cases climb risk community spread grows httpurl	UNINFORMATIVE
1240790181860409344	democrats somehow managed fight ebola without calling the african virus cluster covid 19 cases emerged new york city is hassidic neighborhood , matter time local trump klux klan starts talking the jew virus	UNINFORMATIVE
1249147011003187200	number covid19 deaths surpassed 10 , 0 worldwide , ny surpassed italy number recorded deaths new york state coronavirus cases country worldwide httpurl	INFORMATIVE
1241533144802758656	user user 1 week ago today \( march 14 \) , 15 cases covid fl today , last count 763 563 increase 1 week due slave trump incompetence imagine next saturday another 563 increase we 930 resign	INFORMATIVE
1236363091002011649	coronavirus impact close taj mahal till march end , agra mayor urges people scared foreigners looked suspicion , situation could turn nasty tarnish india is image internationally , said possible tarnish india further httpurl	UNINFORMATIVE
1245725162957242368	dear user covid2019 case give tools amp machines bangladesh , not money bcoz , climate fund money stolen ruling party user user user user user user user user user httpurl	UNINFORMATIVE
1240721152076546049	los angeles county highest number coronavirus cases california user breaks impact covid19 la , cancelled college commencements haphazard health screenings lax airport cheddarlive httpurl	UNINFORMATIVE
1246739551227387905	covid19 updates sothsudan is fist positive patient 29 yo dutch , arrived country netherlands via addis ababa 28 february ssot httpurl	INFORMATIVE
1242799513619664896	watch live ! ! discussion covid19 union health minister dr harsh vardhan , union health secretary ms preeti sudan amp dg icmr , dr balram bhargava httpurl	UNINFORMATIVE
1251122786225045504	coronavirus cases africa could shoot thousands 10 million within three six months according provisional modelling , regional user official said thursday user httpurl httpurl httpurl	UNINFORMATIVE
1241449715654410240	according report come contact someone tests positive covid 19 1 5 chance catching well who s report \? world health organization long read worth httpurl	UNINFORMATIVE
